SSS v= 8426  t=  220
SSS   -8     0     0     5
%P VOLT1   = 8510
%P VOLT2   = 8416
%P S2_SC   =  0.95
%P L_ANG_MAX = 220
S 8412    -8     0     0
B   0 841    0    5
B  10 843  114    5
B  20 842  114    5
B  30 833  114    5
B  40 732  114    5
B  50 714  114    5
B  60 716  114    5
B  70 706  114    5
B  80 674  114    9
B  90 644  114   18
B 100 630  114   28
B 110 638  114   39
B 120 656  114   49
B 130 676  114   59
B 140 688   83   71
B 150 690   51   83
B 160 708   28   95
B 170 730   28  109
B 180 763   28  123
B 190 792   28  136
B 200 805   28  148
B 210 812   28  160
pull out 163
B 220 816 -114  173
B 230 786 -114  185
B 240 688 -114  195
B 250 677 -114  207
B 260 697 -114  216
B 270 722 -114  223
B 280 726 -114  230
B 290 688 -114  231
B 300 648 -114  231
B 310 623 -114  231
B 320 613 -114  219
B 330 622 -114  206
B 340 648 -114  191
B 350 680 -114  175
B 360 708 -114  158
B 370 729 -114  139
B 380 738 -114  120
B 390 740 -114  100
B 400 738 -114   79
B 410 740 -114   55
B 420 745 -114   31
B 430 753 -114    7
push -11 -10
push out at target
B 440 762   76  -13
B 450 760   76  -24
B 460 739   76  -37
B 470 692   76  -52
B 480 700   76  -66
B 490 723   76  -81
B 500 746   76  -97
B 510 760   76 -111
B 520 734   76 -125
B 531 691   76 -131
B 541 656   33 -133
B 551 641    6 -133
B 561 715    9 -130
B 571 758    9 -119
B 581 795    9 -107
B 591 813    9  -98
B 601 822    9  -86
B 611 827    9  -74
B 621 829    9  -62
B 631 831    9  -51
B 641 832    9  -39
B 651 833    9  -28
pb end 
B 661 833   10  -17
B 671 834   10   -7
SSS v= 8342  t=  231
SSS  -10     0     0    -7
%P VOLT1   = 8510
%P VOLT2   = 8342
%P S2_SC   =  0.96
%P L_ANG_MAX = 231
S 8342   -10     0     0
B 681 834  115    3
B 691 834  115    9
B 701 786  115   15
B 711 752  115   19
B 721 754  115   23
B 731 767  115   25
B 741 779  115   31
B 751 786  115   32
B 761 764  115   35
B 771 716  115   42
B 781 677  115   51
B 791 647  113   61
B 801 634   78   74
B 811 644   40   87
B 821 664   28   98
B 831 723   28  111
B 841 755   28  123
B 851 787   28  135
B 861 802   28  148
B 871 809   28  160
B 881 812   28  171
pull out 174
B 891 815 -115  183
B 901 817 -115  193
B 911 818 -115  203
B 921 704 -115  211
B 931 672 -115  221
B 941 684 -115  228
B 951 711 -115  235
B 961 734 -115  241
B 971 733 -115  245
B 981 690 -115  245
B 991 648 -115  245
B 1001 622 -115  242
B 1011 616 -115  230
B 1021 629 -115  215
B 1031 656 -115  200
B 1041 686 -115  183
B 1051 711 -115  166
B 1061 729 -115  147
B 1071 736 -115  128
B 1081 737 -115  107
B 1091 737 -115   85
B 1101 740 -115   62
B 1111 746 -115   37
B 1121 754 -115   14
B 1131 763 -115  -10
push -11 -10
push out at target
B 1141 765   76  -21
B 1151 709   76  -34
B 1161 684   76  -49
B 1171 703   76  -59
B 1181 728   76  -74
B 1191 750   76  -88
B 1201 760   76 -101
B 1211 729   76 -111
B 1221 686   69 -116
B 1231 655   30 -116
B 1241 693    9 -116
B 1251 746    9 -110
B 1261 785    9  -99
B 1271 807    9  -89
B 1281 818    9  -77
B 1291 823    9  -65
B 1301 826    9  -53
B 1311 828    9  -41
B 1321 829    9  -29
pb end 
B 1331 830   10  -17
B 1341 831   10   -5
SSS v= 8314  t=  231
SSS  -14     0     0     5
%P VOLT1   = 8569
%P VOLT2   = 8314
%P S2_SC   =  0.96
%P L_ANG_MAX = 231
S 8314   -14     0     0
B 1352 831  115    7
B 1363 831  115   16
B 1373 832  115   23
B 1383 796  115   28
B 1393 753  115   31
B 1403 751  115   35
B 1413 762  115   37
B 1423 776  115   41
B 1433 780  115   43
B 1443 757  115   46
B 1453 709  115   51
B 1463 672  115   59
B 1473 641   89   70
B 1483 629   55   81
B 1493 663   28   93
B 1503 709   28  105
B 1513 757   28  116
B 1523 787   28  127
B 1533 801   28  139
B 1543 808   28  149
B 1553 812   28  159
B 1563 814   28  169
pull out 175
B 1573 815 -115  179
B 1583 816 -115  187
B 1593 816 -115  196
B 1603 725 -115  204
B 1613 680 -115  209
B 1623 687 -115  216
B 1633 710 -115  223
B 1643 736 -115  227
B 1653 747 -115  230
B 1663 720 -115  231
B 1673 673 -115  231
B 1683 637 -115  230
B 1693 619 -115  216
B 1703 623 -115  203
B 1713 647 -115  188
